Model,Metric,Mean,Standard Deviation
Linear Regression,Validation RMSE,1702.3904497027797,124.6083695839556
Linear Regression,Validation MAE,1232.4109541100052,72.1183119787379
Linear Regression,Validation MAPE,0.18080815443522746,0.004659695348436858
Lasso Regression,Validation RMSE,1702.3908042674168,124.60955299492252
Lasso Regression,Validation MAE,1232.4129452462153,72.11875379247896
Lasso Regression,Validation MAPE,0.18080844482788455,0.00465971975183001
Random Forest,Validation RMSE,1079.1108987244445,108.75313320004153
Random Forest,Validation MAE,708.7541182936218,57.32905896171654
Random Forest,Validation MAPE,0.10390921835822715,0.004505025229140623
XGBoost,Validation RMSE,1171.4684881313788,107.00114157974508
XGBoost,Validation MAE,840.3942826154046,50.487586191302086
XGBoost,Validation MAPE,0.12330074405010635,0.0038225462052000896
